Address:,USB0::0x0957::0x179B::MY54313431::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),
Serial Number:,MY54313431,,-0.053125,-0.000433417735621333,-0.0247788982233033,
Firmware Version:,02.65.2021030741,,-0.052604166668,-0.000433417735621333,-0.0247788982233033,
Start Time:,2023-06-05 07:45:27.052,,-0.052083333336,-0.000433417735621333,-0.0260351796168834,
,,,-0.051562500004,-0.000433417735621333,-0.0272914610104635,
Analog Sample Count:,960,,-0.051041666672,-0.000433417735621333,-0.0260351796168834,
Function Sample Count:,0,,-0.05052083334,-0.000307789596263319,-0.0260351796168834,
Waveform Memory Sample Count:,0,,-0.050000000008,-0.000307789596263319,-0.0260351796168834,
Digital Sample Count:,0,,-0.049479166676,-0.000307789596263319,-0.0260351796168834,
,,,-0.048958333344,-0.000307789596263319,-0.0260351796168834,
Setup Text Information:,,,-0.048437500012,-0.000307789596263319,-0.0260351796168834,
ANALOG,,,-0.04791666668,-0.000307789596263319,-0.0260351796168834,
Channel 1,,,-0.047395833348,-0.000182161456905305,-0.0260351796168834,
Scale,50 mV/,,-0.046875000016,-0.000182161456905305,-0.0260351796168834,
Pos,36.25 mV,,-0.046354166684,-0.000182161456905305,-0.0260351796168834,
Coup,,,-0.045833333352,-0.000182161456905305,-0.0260351796168834,
BW,Off,,-0.04531250002,-0.000182161456905305,-0.0260351796168834,
Inv,Off,,-0.044791666688,-5.65333175472915E-05,-0.0247788982233033,
Imp,1M Ohm,,-0.044270833356,-5.65333175472915E-05,-0.0260351796168834,
Trace Label,1,,-0.043750000024,-5.65333175472915E-05,-0.0247788982233033,
Probe,1,,-0.043229166692,-5.65333175472915E-05,-0.0260351796168834,
Skew,0 s,,-0.04270833336,-5.65333175472915E-05,-0.0260351796168834,
,,,-0.042187500028,6.90948218107224E-05,-0.0260351796168834,
Channel 2,,,-0.041666666696,6.90948218107224E-05,-0.0247788982233033,
Scale,500 mV/,,-0.041145833364,6.90948218107224E-05,-0.0260351796168834,
Pos,-119 mV,,-0.040625000032,0.000194722961168736,-0.0260351796168834,
