Address:,USB0::0x0957::0x179B::MY54313431::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),
Serial Number:,MY54313431,,-0.17734375,-0.00761180547851836,-0.0260351796168834,
Firmware Version:,02.65.2021030741,,-0.176822916668,-0.00761180547851836,-0.0260351796168834,
Start Time:,2023-06-05 07:44:34.510,,-0.176302083336,-0.00771230797545286,-0.0260351796168834,
,,,-0.175781250004,-0.00776255922392011,-0.0260351796168834,
Analog Sample Count:,960,,-0.175260416672,-0.00776255922392011,-0.0260351796168834,
Function Sample Count:,0,,-0.17473958334,-0.00781281047238735,-0.0260351796168834,
Waveform Memory Sample Count:,0,,-0.174218750008,-0.0078630617208546,-0.0260351796168834,
Digital Sample Count:,0,,-0.173697916676,-0.00791331296932185,-0.0260351796168834,
,,,-0.173177083344,-0.00791331296932185,-0.0260351796168834,
Setup Text Information:,,,-0.172656250012,-0.00801381546625635,-0.0260351796168834,
ANALOG,,,-0.17213541668,-0.00806406671472359,-0.0260351796168834,
Channel 1,,,-0.171614583348,-0.00811431796319084,-0.0260351796168834,
Scale,20 mV/,,-0.171093750016,-0.00811431796319084,-0.0260351796168834,
Pos,14.75 mV,,-0.170572916684,-0.00816456921165809,-0.0260351796168834,
Coup,,,-0.170052083352,-0.00821482046012534,-0.0260351796168834,
BW,Off,,-0.16953125002,-0.00831532295705983,-0.0247788982233033,
Inv,Off,,-0.169010416688,-0.00836557420552708,-0.0247788982233033,
Imp,1M Ohm,,-0.168489583356,-0.00836557420552708,-0.0260351796168834,
Trace Label,1,,-0.167968750024,-0.00846607670246158,-0.0260351796168834,
Probe,1,,-0.167447916692,-0.00851632795092883,-0.0260351796168834,
Skew,0 s,,-0.16692708336,-0.00856657919939607,-0.0247788982233033,
,,,-0.166406250028,-0.00856657919939607,-0.0260351796168834,
Channel 2,,,-0.165885416696,-0.00861683044786332,-0.0260351796168834,
Scale,500 mV/,,-0.165364583364,-0.00871733294479782,-0.0260351796168834,
Pos,-119 mV,,-0.164843750032,-0.00871733294479782,-0.0260351796168834,
Coup,,,-0.1643229167,-0.00881783544173231,-0.0260351796168834,
BW,Off,,-0.163802083368,-0.00886808669019956,-0.0260351796168834,
Inv,Off,,-0.163281250036,-0.00891833793866681,-0.0260351796168834,
Imp,1M Ohm,,-0.162760416704,-0.00901884043560131,-0.0247788982233033,
Trace Label,2,,-0.162239583372,-0.00906909168406855,-0.0247788982233033,
Probe,1,,-0.16171875004,-0.00906909168406855,-0.0260351796168834,
Skew,0 s,,-0.161197916708,-0.0091193429325358,-0.0260351796168834,
,,,-0.160677083376,-0.00916959418100305,-0.0260351796168834,
MATH,,,-0.160156250044,-0.00927009667793754,-0.0260351796168834,
REFERENCE WAVEFORM,,,-0.159635416712,-0.00932034792640479,-0.0260351796168834,
TRIGGER,,,-0.15911458338,-0.00942085042333929,-0.0260351796168834,
Sweep Mode,AUTO,,-0.158593750048,-0.00942085042333929,-0.0260351796168834,
Coup,DC,,-0.158072916716,-0.00947110167180654,-0.0260351796168834,
Noise Rej,Off,,-0.157552083384,-0.00952135292027378,-0.0260351796168834,
HF Rej,Off,,-0.157031250052,-0.00962185541720828,-0.0260351796168834,
Holdoff,40.0 ns,,-0.15651041672,-0.00967210666567553,-0.0272914610104635,
Mode,GLIT,,-0.155989583388,-0.00972235791414278,-0.0260351796168834,
Source,CHAN1,,-0.155468750056,-0.00977260916261002,-0.0272914610104635,
Slope,POS,,-0.154947916724,-0.00987311165954452,-0.0260351796168834,
Level,-5.2 mV V,,-0.154427083392,-0.00992336290801177,-0.0260351796168834,
,,,-0.15390625006,-0.00997361415647902,-0.0260351796168834,
HORIZONTAL,,,-0.153385416728,-0.0100238654049463,-0.0260351796168834,
Mode,MAIN,,-0.152864583396,-0.0101243679018808,-0.0260351796168834,
Ref,CENT,,-0.152343750064,-0.010174619150348,-0.0260351796168834,
Main Scale,50 ms/,,-0.151822916732,-0.0102248703988153,-0.0260351796168834,
Main Delay,73 ms,,-0.1513020834,-0.0102751216472825,-0.0260351796168834,
,,,-0.150781250068,-0.010375624144217,-0.0260351796168834,
ACQUISITION,,,-0.150260416736,-0.0104258753926842,-0.0260351796168834,
Mode,HRES,,-0.149739583404,-0.0104761266411515,-0.0260351796168834,
RealTime,On,,-0.149218750072,-0.010576629138086,-0.0272914610104635,
Vectors,On,,-0.14869791674,-0.0106268803865532,-0.0260351796168834,
Persistence,Off,,-0.148177083408,-0.0107273828834877,-0.0260351796168834,
,,,-0.147656250076,-0.010777634131955,-0.0260351796168834,
,,,-0.147135416744,-0.0108278853804222,-0.0260351796168834,
,,,-0.146614583412,-0.0109283878773567,-0.0272914610104635,
,,,-0.14609375008,-0.010978639125824,-0.0272914610104635,
,,,-0.145572916748,-0.0110288903742912,-0.0272914610104635,
,,,-0.145052083416,-0.011179644119693,-0.0260351796168834,
,,,-0.144531250084,-0.0112801466166275,-0.0272914610104635,
,,,-0.144010416752,-0.0113303978650947,-0.0272914610104635,
,,,-0.14348958342,-0.0113303978650947,-0.0260351796168834,
,,,-0.142968750088,-0.0114309003620292,-0.0260351796168834,
,,,-0.142447916756,-0.0115314028589637,-0.0260351796168834,
,,,-0.141927083424,-0.0116319053558982,-0.0272914610104635,
,,,-0.141406250092,-0.0116319053558982,-0.0272914610104635,
,,,-0.14088541676,-0.0117324078528327,-0.0260351796168834,
,,,-0.140364583428,-0.0118329103497672,-0.0260351796168834,
,,,-0.139843750096,-0.0119334128467017,-0.0272914610104635,
,,,-0.139322916764,-0.0119836640951689,-0.0260351796168834,
,,,-0.138802083432,-0.0120841665921034,-0.0260351796168834,
,,,-0.1382812501,-0.0121846690890379,-0.0260351796168834,
,,,-0.137760416768,-0.0122349203375052,-0.0260351796168834,
,,,-0.137239583436,-0.0123354228344397,-0.0260351796168834,
,,,-0.136718750104,-0.0123856740829069,-0.0260351796168834,
,,,-0.136197916772,-0.0125364278283087,-0.0272914610104635,
,,,-0.13567708344,-0.0126369303252432,-0.0260351796168834,
,,,-0.135156250108,-0.0126871815737104,-0.0247788982233033,
,,,-0.134635416776,-0.0127876840706449,-0.0260351796168834,
,,,-0.134114583444,-0.0128881865675794,-0.0260351796168834,
,,,-0.133593750112,-0.0129886890645139,-0.0260351796168834,
,,,-0.13307291678,-0.0130891915614484,-0.0247788982233033,
,,,-0.132552083448,-0.0131896940583829,-0.0272914610104635,
,,,-0.132031250116,-0.0132399453068501,-0.0272914610104635,
,,,-0.131510416784,-0.0133906990522519,-0.0260351796168834,
,,,-0.130989583452,-0.0134409503007191,-0.0272914610104635,
,,,-0.13046875012,-0.0135917040461209,-0.0260351796168834,
,,,-0.129947916788,-0.0136922065430554,-0.0260351796168834,
,,,-0.129427083456,-0.0137424577915226,-0.0260351796168834,
,,,-0.128906250124,-0.0138429602884571,-0.0260351796168834,
,,,-0.128385416792,-0.0139937140338589,-0.0260351796168834,
,,,-0.12786458346,-0.0140439652823261,-0.0260351796168834,
,,,-0.127343750128,-0.0141947190277278,-0.0260351796168834,
,,,-0.126822916796,-0.0142449702761951,-0.0260351796168834,
,,,-0.126302083464,-0.0143957240215968,-0.0260351796168834,
,,,-0.125781250132,-0.0145464777669986,-0.0260351796168834,
,,,-0.1252604168,-0.0146469802639331,-0.0260351796168834,
,,,-0.124739583468,-0.0147474827608676,-0.0272914610104635,
,,,-0.124218750136,-0.0148479852578021,-0.0260351796168834,
,,,-0.123697916804,-0.0149987390032038,-0.0260351796168834,
,,,-0.123177083472,-0.0150489902516711,-0.0272914610104635,
,,,-0.12265625014,-0.0151494927486056,-0.0260351796168834,
,,,-0.122135416808,-0.0153002464940073,-0.0272914610104635,
,,,-0.121614583476,-0.015451000239409,-0.0272914610104635,
