Address:,USB0::0x0957::0x179B::MY54313431::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),
Serial Number:,MY54313431,,-0.43125,-0.00443467358127236,-0.0550880241207778,
Firmware Version:,02.65.2021030741,,-0.43020833334,-0.00443467358127236,-0.0550880241207778,
Start Time:,2023-06-04 14:23:45.112,,-0.42916666668,-0.00443467358127236,-0.0550880241207778,
,,,-0.42812500002,-0.00443467358127236,-0.0550880241207778,
Analog Sample Count:,960,,-0.42708333336,-0.00456030172063038,-0.0550880241207778,
Function Sample Count:,0,,-0.4260416667,-0.00456030172063038,-0.0576005873735994,
Waveform Memory Sample Count:,0,,-0.42500000004,-0.00443467358127236,-0.0576005873735994,
Digital Sample Count:,0,,-0.42395833338,-0.00443467358127236,-0.0576005873735994,
,,,-0.42291666672,-0.00443467358127236,-0.0550880241207778,
Setup Text Information:,,,-0.42187500006,-0.00443467358127236,-0.0550880241207778,
ANALOG,,,-0.4208333334,-0.00456030172063038,-0.0576005873735994,
Channel 1,,,-0.41979166674,-0.00456030172063038,-0.0550880241207778,
Scale,50 mV/,,-0.41875000008,-0.00456030172063038,-0.0576005873735994,
Pos,-17.5 mV,,-0.41770833342,-0.00456030172063038,-0.0576005873735994,
Coup,,,-0.41666666676,-0.00456030172063038,-0.0576005873735994,
BW,Off,,-0.4156250001,-0.00456030172063038,-0.0576005873735994,
Inv,Off,,-0.41458333344,-0.00456030172063038,-0.0576005873735994,
Imp,1M Ohm,,-0.41354166678,-0.00456030172063038,-0.0576005873735994,
Trace Label,1,,-0.41250000012,-0.00456030172063038,-0.0576005873735994,
Probe,1,,-0.41145833346,-0.00456030172063038,-0.0576005873735994,
Skew,0 s,,-0.4104166668,-0.00456030172063038,-0.0576005873735994,
,,,-0.40937500014,-0.00456030172063038,-0.0550880241207778,
Channel 2,,,-0.40833333348,-0.00456030172063038,-0.0550880241207778,
Scale,1 V/,,-0.40729166682,-0.00456030172063038,-0.0550880241207778,
Pos,462.5 mV,,-0.40625000016,-0.00468592985998839,-0.0576005873735994,
Coup,,,-0.4052083335,-0.00456030172063038,-0.0576005873735994,
BW,Off,,-0.40416666684,-0.00456030172063038,-0.0550880241207778,
Inv,Off,,-0.40312500018,-0.00468592985998839,-0.0550880241207778,
Imp,1M Ohm,,-0.40208333352,-0.00456030172063038,-0.0576005873735994,
Trace Label,2,,-0.40104166686,-0.00468592985998839,-0.0576005873735994,
Probe,1,,-0.4000000002,-0.00468592985998839,-0.0576005873735994,
Skew,0 s,,-0.39895833354,-0.00456030172063038,-0.0550880241207778,
,,,-0.39791666688,-0.00468592985998839,-0.0550880241207778,
MATH,,,-0.39687500022,-0.00468592985998839,-0.0550880241207778,
REFERENCE WAVEFORM,,,-0.39583333356,-0.00468592985998839,-0.0576005873735994,
TRIGGER,,,-0.3947916669,-0.00468592985998839,-0.0576005873735994,
Sweep Mode,AUTO,,-0.39375000024,-0.00468592985998839,-0.0576005873735994,
Coup,DC,,-0.39270833358,-0.00468592985998839,-0.0550880241207778,
Noise Rej,Off,,-0.39166666692,-0.00468592985998839,-0.0550880241207778,
HF Rej,Off,,-0.39062500026,-0.00468592985998839,-0.0576005873735994,
Holdoff,40.0 ns,,-0.3895833336,-0.00468592985998839,-0.0550880241207778,
Mode,GLIT,,-0.38854166694,-0.00468592985998839,-0.0550880241207778,
Source,CHAN1,,-0.38750000028,-0.00468592985998839,-0.0550880241207778,
Slope,POS,,-0.38645833362,-0.00468592985998839,-0.0576005873735994,
Level,-5.2 mV V,,-0.38541666696,-0.00468592985998839,-0.0576005873735994,
,,,-0.3843750003,-0.00468592985998839,-0.0576005873735994,
HORIZONTAL,,,-0.38333333364,-0.00481155799934641,-0.0550880241207778,
Mode,MAIN,,-0.38229166698,-0.00468592985998839,-0.0576005873735994,
Ref,CENT,,-0.38125000032,-0.00481155799934641,-0.0576005873735994,
Main Scale,100 ms/,,-0.38020833366,-0.00481155799934641,-0.0576005873735994,
Main Delay,69 ms,,-0.379166667,-0.00481155799934641,-0.0550880241207778,
,,,-0.37812500034,-0.00481155799934641,-0.0550880241207778,
ACQUISITION,,,-0.37708333368,-0.00481155799934641,-0.0550880241207778,
Mode,HRES,,-0.37604166702,-0.00481155799934641,-0.0576005873735994,
RealTime,On,,-0.37500000036,-0.00481155799934641,-0.0576005873735994,
Vectors,On,,-0.3739583337,-0.00481155799934641,-0.0576005873735994,
Persistence,Off,,-0.37291666704,-0.00481155799934641,-0.0550880241207778,
,,,-0.37187500038,-0.00481155799934641,-0.0576005873735994,
,,,-0.37083333372,-0.00481155799934641,-0.0576005873735994,
,,,-0.36979166706,-0.00481155799934641,-0.0550880241207778,
,,,-0.3687500004,-0.00481155799934641,-0.0550880241207778,
,,,-0.36770833374,-0.00481155799934641,-0.0576005873735994,
,,,-0.36666666708,-0.00481155799934641,-0.0576005873735994,
,,,-0.36562500042,-0.00481155799934641,-0.0576005873735994,
,,,-0.36458333376,-0.00481155799934641,-0.0576005873735994,
