Address:,USB0::0x0957::0x179B::MY54313431::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),
Serial Number:,MY54313431,,-0.43125,-0.00355527660576627,-0.0100125486496836,
Firmware Version:,02.65.2021030741,,-0.43020833334,-0.00342964846640825,-0.0100125486496836,
Start Time:,2023-06-04 14:25:42.170,,-0.42916666668,-0.00342964846640825,-0.0100125486496836,
,,,-0.42812500002,-0.00342964846640825,-0.010515061148908,
Analog Sample Count:,960,,-0.42708333336,-0.00342964846640825,-0.0100125486496836,
Function Sample Count:,0,,-0.4260416667,-0.00342964846640825,-0.0100125486496836,
Waveform Memory Sample Count:,0,,-0.42500000004,-0.00342964846640825,-0.0100125486496836,
Digital Sample Count:,0,,-0.42395833338,-0.00342964846640825,-0.0100125486496836,
,,,-0.42291666672,-0.00342964846640825,-0.0100125486496836,
Setup Text Information:,,,-0.42187500006,-0.00342964846640825,-0.010515061148908,
ANALOG,,,-0.4208333334,-0.00342964846640825,-0.010515061148908,
Channel 1,,,-0.41979166674,-0.00342964846640825,-0.0100125486496836,
Scale,50 mV/,,-0.41875000008,-0.00342964846640825,-0.0100125486496836,
Pos,-17.5 mV,,-0.41770833342,-0.00342964846640825,-0.010515061148908,
Coup,,,-0.41666666676,-0.00342964846640825,-0.0100125486496836,
BW,Off,,-0.4156250001,-0.00342964846640825,-0.0100125486496836,
Inv,Off,,-0.41458333344,-0.00342964846640825,-0.0100125486496836,
Imp,1M Ohm,,-0.41354166678,-0.00342964846640825,-0.0100125486496836,
Trace Label,1,,-0.41250000012,-0.00342964846640825,-0.0100125486496836,
Probe,1,,-0.41145833346,-0.00342964846640825,-0.0100125486496836,
Skew,0 s,,-0.4104166668,-0.00342964846640825,-0.0100125486496836,
,,,-0.40937500014,-0.00342964846640825,-0.0100125486496836,
Channel 2,,,-0.40833333348,-0.00342964846640825,-0.0100125486496836,
Scale,200 mV/,,-0.40729166682,-0.00330402032705024,-0.0100125486496836,
Pos,92.5 mV,,-0.40625000016,-0.00342964846640825,-0.010515061148908,
Coup,,,-0.4052083335,-0.00342964846640825,-0.010515061148908,
BW,Off,,-0.40416666684,-0.00342964846640825,-0.0100125486496836,
Inv,Off,,-0.40312500018,-0.00342964846640825,-0.0100125486496836,
Imp,1M Ohm,,-0.40208333352,-0.00342964846640825,-0.0100125486496836,
Trace Label,2,,-0.40104166686,-0.00342964846640825,-0.010515061148908,
Probe,1,,-0.4000000002,-0.00342964846640825,-0.0100125486496836,
Skew,0 s,,-0.39895833354,-0.00342964846640825,-0.0100125486496836,
,,,-0.39791666688,-0.00342964846640825,-0.0100125486496836,
MATH,,,-0.39687500022,-0.00330402032705024,-0.0100125486496836,
REFERENCE WAVEFORM,,,-0.39583333356,-0.00342964846640825,-0.010515061148908,
TRIGGER,,,-0.3947916669,-0.00342964846640825,-0.010515061148908,
Sweep Mode,AUTO,,-0.39375000024,-0.00342964846640825,-0.0100125486496836,
