Address:,USB0::0x0957::0x179B::MY54313431::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),
Serial Number:,MY54313431,,-0.303125,-0.00483040261315182,-0.0238693464780226,
Firmware Version:,02.65.2021030741,,-0.30208333334,-0.00483040261315182,-0.0251256278716028,
Start Time:,2023-06-05 08:21:17.106,,-0.30104166668,-0.00495603075250983,-0.0238693464780226,
,,,-0.30000000002,-0.00495603075250983,-0.0251256278716028,
Analog Sample Count:,960,,-0.29895833336,-0.00495603075250983,-0.0238693464780226,
Function Sample Count:,0,,-0.2979166667,-0.00495603075250983,-0.0251256278716028,
Waveform Memory Sample Count:,0,,-0.29687500004,-0.00495603075250983,-0.0251256278716028,
Digital Sample Count:,0,,-0.29583333338,-0.00495603075250983,-0.0251256278716028,
,,,-0.29479166672,-0.00508165889186785,-0.0251256278716028,
Setup Text Information:,,,-0.29375000006,-0.00508165889186785,-0.0238693464780226,
ANALOG,,,-0.2927083334,-0.00508165889186785,-0.0251256278716028,
Channel 1,,,-0.29166666674,-0.00508165889186785,-0.0251256278716028,
Scale,50 mV/,,-0.29062500008,-0.00508165889186785,-0.0238693464780226,
Pos,36.25 mV,,-0.28958333342,-0.00508165889186785,-0.0238693464780226,
Coup,,,-0.28854166676,-0.00520728703122586,-0.0238693464780226,
BW,Off,,-0.2875000001,-0.00520728703122586,-0.0238693464780226,
Inv,Off,,-0.28645833344,-0.00520728703122586,-0.0251256278716028,
Imp,1M Ohm,,-0.28541666678,-0.00520728703122586,-0.0251256278716028,
Trace Label,1,,-0.28437500012,-0.00520728703122586,-0.0251256278716028,
Probe,1,,-0.28333333346,-0.00533291517058387,-0.0238693464780226,
Skew,0 s,,-0.2822916668,-0.00533291517058387,-0.0251256278716028,
,,,-0.28125000014,-0.00533291517058387,-0.0238693464780226,
Channel 2,,,-0.28020833348,-0.00533291517058387,-0.0251256278716028,
Scale,500 mV/,,-0.27916666682,-0.00533291517058387,-0.0251256278716028,
Pos,0 V,,-0.27812500016,-0.00533291517058387,-0.0251256278716028,
Coup,,,-0.2770833335,-0.00533291517058387,-0.0238693464780226,
BW,Off,,-0.27604166684,-0.00545854330994189,-0.0251256278716028,
Inv,Off,,-0.27500000018,-0.00545854330994189,-0.0251256278716028,
Imp,1M Ohm,,-0.27395833352,-0.00545854330994189,-0.0251256278716028,
Trace Label,2,,-0.27291666686,-0.0055841714492999,-0.0251256278716028,
Probe,1,,-0.2718750002,-0.0055841714492999,-0.0251256278716028,
Skew,0 s,,-0.27083333354,-0.0055841714492999,-0.0251256278716028,
,,,-0.26979166688,-0.0055841714492999,-0.0251256278716028,
MATH,,,-0.26875000022,-0.0055841714492999,-0.0251256278716028,
REFERENCE WAVEFORM,,,-0.26770833356,-0.00570979958865792,-0.0251256278716028,
TRIGGER,,,-0.2666666669,-0.00570979958865792,-0.0251256278716028,
